LAT,LON,MINOR
31.8558083,29.38042657,1.220193222
33.31038752,12.6189652,1.814674304
30.335254,-10.56707599,1.350861773
31.01796811,-2.8023116,1.930171084
30.73820982,27.88898655,2.142232994
26.01066593,24.77303026,1.248625928
26.32102196,23.35515019,10.06609537
28.05879266,20.24430972,1.781313646
22.92216452,19.9642451,2.740359255
22.76969141,20.47753134,2.198346169
25.49508217,23.30002685,2.468546294
24.82577608,23.68843135,1.731799406
22.54676365,24.85735753,1.578952278
24.09932191,26.49413613,2.02203914
23.19263734,31.52479778,3.25460458
23.27826798,31.77771279,2.350533961
22.81873282,34.96883611,1.612701493
22.55705197,34.97837459,1.515778877
22.72468671,35.86161483,3.635693871
23.25890243,36.90986738,2.183952062
23.79729713,36.44274805,1.805678758
23.74159008,37.95524807,1.537763962
23.44099306,40.0634564,2.008054906
23.13883085,40.39342892,2.3948026
23.41713331,37.43355512,1.468047441
23.56042711,38.5989898,1.193657222
22.19442265,38.40268932,1.354838927
22.2422539,36.99239907,1.608977222
22.64052851,41.56956417,2.051706455
19.77623232,51.96019024,4.758211358
17.74049757,51.66270721,4.774748066
18.95046501,49.82983314,3.041739102
18.48882935,50.17846597,2.211677761
21.44803526,48.16394429,6.786438849
21.02773861,48.17642528,18.89804821
20.87074381,48.47627947,3.115309297
18.49326198,48.85114967,2.921441665
18.11707168,47.90011904,2.866459578
17.96436038,47.21180941,2.392910389
20.41453034,46.49599859,1.665942473
20.44998749,45.72932448,3.02983234
18.18422151,46.60883139,1.839684254
21.12599074,40.99726355,3.116216814
18.24169333,39.31409627,2.737437938
18.61428455,37.5909709,2.450458091
19.72217392,38.08823148,1.906696603
20.9575953,36.78978437,1.880246664
18.83321853,41.25491428,1.619354126
19.3736796,38.97647035,1.438965688
18.70253852,36.25414946,1.86806902
18.77826416,36.06407024,1.781603412
19.50174387,32.97829479,4.223051359
20.43739503,32.69215114,15.26644987
19.74954603,32.7842671,2.10598517
19.13516499,34.76139698,1.907193179
17.83825742,33.88241512,1.773070861
18.79622001,35.1538634,1.480835196
17.80877683,36.12524576,1.378138803
18.58690372,31.11807987,4.74054562
18.08213829,31.72462913,1.78591582
18.38623785,32.18741288,0.892093371
18.47483713,30.18974147,1.762178745
19.94469058,34.63314535,2.090552227
20.61424393,27.3695876,1.764958434
20.54937627,31.11046852,1.522182635
20.26244407,25.09350674,2.600570025
20.57372833,24.55868473,2.049155753
19.54224691,22.41032079,1.899386278
19.33925694,22.54655088,1.511126367
19.02825112,22.67417766,1.763087324
18.59602687,24.97589801,2.648367839
18.52590414,24.66018749,2.020740061
18.507992,20.32191383,2.20220693
17.99210212,22.5039116,2.896969794
18.12357203,23.64211738,1.38725372
18.51785305,23.89110008,1.630456549
21.48471784,20.16818612,3.368389941
20.18384586,17.25388457,2.274063728
20.34172859,14.49797195,1.349151296
20.82700664,10.40046254,1.663749522
17.8742394,15.55638474,0.970120186
14.85349907,19.85091321,2.01948094
14.57300179,20.53865708,2.048652973
15.66596279,24.87151345,2.525999636
16.64392899,25.52486701,2.182839648
16.28519336,25.44282709,1.630802887
16.95368364,23.90947014,1.521835765
16.95696612,24.84090094,1.518954411
13.57192973,22.27033376,3.611968176
14.05667012,22.76766328,1.414202494
13.70515347,26.09663493,2.205139216
13.96585924,27.19970972,1.930425546
13.96230165,27.64485682,1.602678791
13.58987236,27.78459557,1.210698078
14.44447025,28.92387109,1.859910272
15.44656872,27.19082659,1.456316853
17.41143123,30.34279935,2.699432347
17.08192061,30.78115435,2.234344248
16.99015063,31.00259821,2.165663218
16.84033613,30.98822617,1.429008751
17.53378996,31.38649057,1.428367703
16.52284162,32.31068893,1.435794001
17.70012058,33.20249075,5.328230195
17.53948047,34.41326554,1.382431532
17.66731003,35.24075692,1.889285371
16.87653821,35.15469858,1.477330241
15.58743136,33.84016268,2.079690475
15.11654488,31.44735793,1.206684631
14.15377706,31.76049242,1.508876254
14.03573544,30.97933322,1.574408264
14.49469921,29.95613214,1.636488882
14.05979242,29.76405701,1.21297229
15.10457799,30.23479138,1.675628496
15.12621762,30.10657722,1.784640125
16.24340234,30.20473359,1.254079133
15.76858417,31.01441386,1.339414724
17.2718632,28.25360536,1.444060472
14.93806944,32.30222733,1.671681146
15.36054186,32.38221086,1.53240968
14.27351555,33.42713818,1.948041146
13.82470804,32.70969215,1.691893863
15.59669456,32.13664859,1.472492353
14.75157201,33.6906593,1.250369851
14.59227268,33.83480346,1.389228326
14.26098523,33.65951056,1.548978804
14.87430388,34.16650675,1.434079169
15.00920844,33.65109889,1.089997431
16.71012154,35.32026968,1.534915342
16.28744695,36.46801223,1.763719955
16.10710718,36.70434567,1.669505752
16.13940694,37.25643334,1.59286367
15.28405931,36.39167409,1.653554999
14.85452162,37.15062489,1.554457732
14.79224228,35.24007803,2.083328018
14.89102307,34.98889705,1.435601236
14.372607,35.49527717,1.462979691
14.42441434,36.17561377,3.597402444
13.54708151,33.5870595,2.389542968
14.51039647,37.75102506,1.154330526
17.16000929,37.57634787,1.802792522
17.77839195,37.43547835,1.968079739
17.53295233,37.53652627,2.363019881
17.67299181,38.460026,1.694373206
15.88133737,38.96005295,2.284174257
15.29315267,39.1631707,1.859832131
14.80051228,38.97104262,3.505299856
15.33175105,37.99693239,1.276293094
16.28110891,38.85757984,2.62901992
16.79714171,38.97646318,2.675938783
17.07070099,40.46444578,1.901900922
17.30231906,40.96875423,2.205370088
17.27573114,42.10828439,2.18167496
17.3543398,41.75058491,1.381603748
14.18214979,41.17651269,2.154788946
14.38017789,40.27954618,1.798656112
15.26932341,39.90291318,1.906100931
14.63320573,38.5774774,1.106402284
14.49966752,38.57935505,1.509236381
16.38219901,39.55545272,1.454224278
16.98158425,39.75689891,1.567473023
15.10141471,40.37429447,2.316837858
14.88540372,40.61731833,3.58027691
14.95080723,41.64804126,1.332650197
14.61833593,40.17525828,1.813357471
13.86265897,40.34777214,1.271220377
14.3568048,39.63851756,1.633920227
14.49883087,39.31302349,1.15588193
14.1853516,42.24936424,1.537610442
16.85740553,38.73459964,1.387331157
16.16874924,38.61674831,1.893093686
14.04712197,42.86265348,2.120745464
14.25802193,42.77317063,2.232523532
16.67958674,44.55861648,3.831509134
17.05704107,47.40191379,2.877934363
15.45538892,46.82042936,3.145136106
14.6641372,45.41621878,6.986370794
14.43787194,43.06396763,2.762574114
14.47096765,42.86436803,2.891576575
14.13972815,48.8782157,2.225207693
14.84697264,52.45477435,5.244613219
14.34973937,52.36269929,2.267660132
16.60047974,52.71164472,2.796556082
13.65310304,58.65426931,2.223968672
11.60254623,55.81284555,1.81622894
11.11236053,55.76725885,2.176265053
11.30910274,55.64579816,1.752859995
10.23781494,53.60930437,5.108086332
10.24344341,56.40777189,1.92155809
9.594410805,56.29259481,2.393254776
13.00893764,56.14472319,1.280543419
13.3265002,51.90411601,4.903546363
12.2913123,51.39367034,1.824174946
11.57905516,51.66893132,2.37232663
10.46059799,52.50734731,1.733871894
11.71639887,52.98207876,2.572925597
12.49572727,53.7925054,2.211290617
11.60239669,53.27139188,1.572347534
9.700904417,53.0369282,1.697807686
11.5717672,53.53688387,2.071452558
11.11367472,46.69423201,2.741111823
11.20841993,47.26834114,1.908065177
10.61383413,47.20660597,2.044193938
12.57904745,49.05953604,3.063564291
12.56896569,42.40098997,5.703391852
12.01919648,43.04268686,2.525723079
9.775671966,42.33097675,1.751520322
12.56872847,41.08695219,2.240333775
13.02199356,39.42214492,2.170016697
12.31314277,39.84760569,1.85863132
11.04884471,39.63749795,1.783471239
9.385173933,40.14194304,2.279290169
13.04906361,40.11099455,0.906387953
12.91267192,40.48592086,1.801452064
12.9824578,37.23944611,2.048808116
12.82773028,37.44056343,1.853384742
12.50669759,37.95725201,1.639548859
11.48666993,38.51383146,1.296555711
12.0760996,38.75732352,1.652167744
11.09355669,38.48710691,1.55001353
10.46197705,38.56604078,1.468653453
10.87260658,38.07297994,1.443392082
11.09196296,38.09183544,1.728277458
10.90533344,37.77331618,1.2063689
11.54694735,37.67001066,1.029174053
10.24022313,37.52186207,1.558164651
12.71967042,40.81302619,1.515015994
9.423506402,38.75305339,1.338745533
9.980005654,36.37861557,1.900711273
9.343763427,36.36024079,1.115956311
11.08890572,36.7169195,1.840811406
11.63336678,36.8235278,1.284141477
12.30610315,36.76807607,1.163906956
11.51511127,35.88932876,1.364328041
11.30716704,35.81891756,1.29722835
11.29177999,36.58141905,1.328416137
10.90429298,35.56685196,1.619678904
11.21585141,35.0599075,1.668990966
11.27388746,34.46743524,1.455927015
11.12135033,37.1121113,1.069627208
10.3741413,37.07180658,1.222108867
9.64652689,36.69502092,1.170882557
9.876330715,35.71486866,1.336997882
10.54053577,34.49493537,1.25839528
10.54769134,34.42977907,1.579052666
10.49999193,34.29449081,0.977067293
10.23854284,34.32451105,1.173370298
10.20637428,34.21402957,2.225788603
9.821010101,33.6833307,2.366734063
10.89828928,33.87176241,1.729344019
11.44226472,33.35977078,2.13781101
12.58050501,34.57626066,1.80536563
12.49483993,34.26052324,1.264544566
12.69919054,35.8721921,1.156918198
11.6955084,38.08677782,1.084249044
10.33616503,33.43292643,1.877592724
10.91879605,33.44927549,1.142984516
10.87082433,33.39848887,1.460190403
11.23486197,33.81171793,0.715661273
9.943033721,34.40822744,1.041983072
9.921817184,34.34864405,1.017919863
10.12667998,33.05658032,1.179578796
9.749338899,33.00895531,1.404074095
9.857018123,32.72463434,1.311310884
9.614512341,32.713431,1.223246799
9.979946343,32.32864826,1.500091921
9.857681063,32.02144218,1.36293049
11.5905286,32.87081343,1.280665778
12.7848973,32.7052735,1.783339395
13.02380417,32.52001182,1.720473256
12.87902325,32.22735308,2.066726248
11.94801235,32.44465401,1.56122043
11.05658901,31.24717502,1.788475017
12.12946122,31.13637968,2.809066963
10.38540193,30.14531007,1.854320851
10.60022673,29.2319753,2.430897447
12.1153171,29.22950452,1.917189412
11.51573688,30.50473498,1.70750565
12.16978161,33.43266548,1.457756381
13.46347674,29.20699275,1.486811984
11.47674553,28.54351074,1.600508998
11.91495524,26.97131466,1.567074068
12.02125153,27.61682168,1.23569152
12.7181514,27.63542973,1.802941906
12.95011157,26.52080916,1.629556518
13.0407784,28.43065233,1.315991075
10.51748536,22.88084193,1.536315895
10.55594941,21.62511337,3.267910797
11.36339454,22.87076246,1.763837705
11.64513864,22.98022462,2.063314699
12.13166396,22.73015747,1.887813462
13.30179213,20.64253968,1.46533367
11.70407157,20.9566817,1.257813532
12.34767178,31.38437517,1.119136167
8.172637081,32.67490744,2.012842823
8.967073838,33.62487762,1.522695953
9.224547326,33.73540939,1.66754497
7.921373303,35.73084694,1.330210796
8.560629621,35.61291858,2.410688946
8.22049429,34.56320837,2.132747093
6.311436316,35.21713039,2.021851848
6.14568744,35.5094536,1.574790443
5.835776947,35.5403229,2.133612403
5.422849907,35.16592426,1.555742807
6.338914748,36.15274334,2.3299389
6.259402736,36.56097988,1.193772943
6.078188111,36.785792,1.359390314
7.717259802,36.9864397,1.409918564
8.553733913,36.95326591,1.218887869
8.542882903,36.27931223,1.414867913
8.003236751,36.38895193,1.119587077
9.027019219,38.21764446,1.327999257
8.273258335,33.67445322,2.005601043
7.144428657,34.1879917,1.466351977
7.269825379,34.47224028,1.455321248
6.257178949,34.81404787,1.373898577
7.084141008,35.39671755,1.153785118
6.940860696,35.61486544,1.39225897
8.712988771,35.4020512,0.968991016
8.822946767,35.77429669,1.194997868
9.090809134,36.34214358,1.166441453
8.988196363,34.87762966,1.20523202
5.37921561,35.97544401,1.051226797
5.500863296,36.10597381,1.561646785
8.71205707,41.47300005,2.231246604
8.903569883,42.18981355,2.046499369
9.126801535,41.60580932,2.476507172
7.213484316,45.50150004,2.403552018
9.092287154,46.23374952,2.497751641
7.697785573,45.76421263,1.950085148
8.5981401,46.08786244,1.770503738
9.007452382,46.06247248,1.826371766
8.451927884,49.08814988,2.67559363
7.518563858,49.49956182,2.448961161
9.023159313,50.27792031,2.287620775
8.260664197,50.70686917,2.598304496
8.208176354,50.80242303,2.111467726
6.225656728,50.49671769,3.175747513
5.21164566,50.47648156,3.217535699
6.984783099,48.14579063,3.795899342
5.814503181,49.13521275,2.135772948
6.14167583,49.17335926,1.83878441
6.582234448,49.45647914,1.754071586
9.193483092,52.62313113,2.552825725
8.593473598,51.78047165,2.156730983
8.342259834,52.82550271,1.440964844
7.841716299,53.10145573,1.840720424
7.159681899,54.69368223,3.116351251
6.392531999,53.88933841,1.965681168
6.324390259,53.79364051,1.832131829
6.110427067,53.85336091,1.712740674
5.800893478,53.1713212,2.008242992
6.008047697,53.33140048,1.581789092
6.147455715,51.61641752,2.142002805
7.156963454,51.46199747,1.550741412
7.72793411,49.67105012,1.925862543
8.913675689,54.9062641,1.436816048
8.443765826,54.00851665,1.403591595
8.76793965,53.711743,1.505533166
8.538926199,54.3595545,2.074948381
8.395592865,51.48599809,1.758726601
5.292082912,55.89768751,1.136034955
5.226857124,55.9504634,1.437396116
5.617110166,55.21613865,1.048342558
9.265796822,55.24193023,1.208367496
