Diameter,Latitude,Longitude (West),Axial Ratio,Degradation,Geol. Unit,Note
349.93,7.46,286.03,1.15,,FBT,Very degraded/visible in topography
156.10,26.20,45.86,1.05,,ICT,Aeneas
132.88,52.55,202.62,1.01,,DCT2,Latinus
131.02,-52.33,294.91,1.00,,FBT,Alcander
121.19,-24.42,18.51,1.09,,RBT,Dido
113.22,-34.98,105.02,1.13,,ET,Erulus
100.52,-7.64,224.19,1.01,,FBT,Allecto
100.20,50.34,242.94,1.09,,FBT,Acestes
90.68,-45.93,286.56,1.14,,FBT,Prytanis
88.88,33.88,232.64,1.00,,FBT,Ascanius
76.26,-13.70,102.65,1.06,,ST,Lagus
76.09,-7.46,10.77,1.01,,RBT,Antenor
72.86,30.44,279.34,1.01,,FBT,Dercennus
70.06,5.74,279.55,1.02,,FBT,Amata
68.26,-15.14,300.82,1.32,,FBT,Daucus
67.78,-7.88,25.72,1.13,,RBT,Romulus
64.29,25.64,271.77,1.06,,FBT,
64.28,-13.86,30.97,1.17,,RBT,Remus
62.78,-32.61,331.81,1.10,,FBT,Silvius
61.78,-3.07,240.72,1.09,,FBT,Pagasus
61.29,12.75,225.27,1.00,,FBT,
61.11,-41.51,295.04,1.21,,FBT,
59.63,81.37,136.51,,4,DCT1,Phorbas
59.55,-11.03,210.27,1.16,,FBT,Entellus
57.81,-10.09,236.63,1.10,,FBT,Amastrus
57.57,33.13,8.46,1.03,,ICT,Assaracus
55.70,54.03,254.18,1.06,,FBT,Lamyrus
55.35,29.91,189.65,1.03,,ICT,Tiburtus
54.68,47.34,278.02,1.05,,FBT,
54.60,47.98,297.08,,3,FBT,Galaesus
54.26,46.00,294.58,,3,FBT,
53.91,-22.29,245.47,1.01,,ICT,Iasus
53.16,20.23,182.87,1.12,,ICT,Mezentius
52.34,35.67,155.55,1.16,,DCT2,Herbesus
51.56,56.30,332.86,1.00,,ICT,Sulmo
50.72,-0.29,346.22,1.03,,ICT,Ilia
49.10,4.82,103.73,1.04,,ST,Sagaris
47.72,10.41,147.36,1.01,,ST,Aulestes
47.44,-25.10,79.06,1.09,,ST,Caieta
47.28,14.53,25.52,1.01,,ICT,Latagus
45.27,19.84,232.68,1.01,,FBT,
44.55,64.90,181.48,,2,DCT2,Salius
44.12,48.88,162.75,1.12,,DCT2,
43.80,25.71,287.56,1.13,,FBT,Tyrrhus
43.45,18.64,23.92,1.10,,ICT,Magus
43.26,12.43,162.44,1.13,,ICT,
42.85,39.73,246.07,1.00,,FBT,
42.66,1.73,7.95,1.02,,ICT,
42.64,23.04,15.61,1.08,,ICT,
42.19,24.56,126.53,1.48,,ST,Liger
41.90,32.13,137.75,1.06,,ST,
41.53,41.71,321.98,1.17,,ICT,
41.44,37.52,184.19,1.00,,DCT2,
41.36,0.47,267.95,1.06,,FBT,Coras
41.19,-49.30,355.83,1.04,,ICT,
41.12,40.82,17.18,1.41,,ICT,
40.76,-21.50,106.76,1.01,,ST,
40.56,50.89,300.40,,4,FBT,
40.45,26.39,29.18,1.00,,ICT,
40.36,-16.58,96.97,1.01,,ST,Telon
39.71,-34.44,64.42,1.20,,ST,Anchises
39.70,52.95,315.12,,3 ellipse,ICT,
39.69,41.32,310.05,1.03,,ICT,
39.62,-42.35,344.12,1.02,,ICT,
39.56,-25.97,215.33,1.01,,FBT,
38.92,51.54,172.89,1.22,,DCT2,
38.88,20.68,269.69,1.59,,FBT,
38.88,-31.85,29.36,1.08,,RBT,
38.88,22.68,130.61,1.24,,ST,Lucagus
38.38,0.39,6.38,1.10,,ICT,
37.91,-3.18,199.45,1.03,,ICT,
37.84,8.93,4.00,1.01,,ICT,
37.79,-62.43,45.11,1.09,,ICT,Adrastus
37.28,57.83,202.88,1.00,,DCT2,
36.66,47.47,339.52,1.03,,ICT,
35.95,-0.13,230.03,1.04,,FBT,
35.83,41.38,13.09,1.01,,ICT,
35.74,38.24,169.86,1.43,,DCT2,
35.54,42.02,68.21,1.38,,ST,
35.48,33.10,110.71,1.16,,ST,
35.23,44.97,351.49,1.04,,ICT,Oebalus
35.13,56.30,125.87,,3,ST,
34.67,64.98,96.94,,4,ST,
34.59,66.15,44.62,,3,ICT,Butes
34.50,-0.57,264.37,1.13,,ICT,
34.44,-0.20,65.24,1.00,,ST,Eumelus
34.40,3.30,21.80,1.05,,ICT,
34.31,-59.76,52.47,1.11,,ICT,Halys
34.23,-18.88,75.89,1.02,,ST,Italus
33.80,33.93,205.40,1.01,,DCT2,
33.76,-1.10,175.67,1.01,,ICT,
33.74,12.73,221.55,1.01,,FBT,
33.67,19.18,248.99,1.02,,ICT,
33.52,6.98,156.61,1.09,,ICT,
33.50,-20.71,288.30,1.08,,FBT,
33.42,38.65,26.49,1.01,,ICT,
33.40,25.47,340.15,1.03,,ICT,
33.27,-20.87,106.53,1.07,,ST,
33.10,34.75,114.91,1.30,,ST,
33.02,-7.91,243.19,1.08,,ICT,
32.82,-38.12,319.94,1.01,,FBT,
32.68,3.32,192.14,1.08,,ICT,
32.57,5.25,207.57,1.05,,ICT,
32.54,49.18,74.83,,1,ST,Creusa
32.52,-35.49,54.62,1.11,,ST,Massicus
32.30,35.88,338.60,1.15,,ICT,
32.25,1.72,255.34,1.00,,ICT,
32.24,5.16,306.17,1.00,,FBT,
32.21,-16.74,223.24,1.01,,FBT,
32.20,58.29,5.05,1.18,,ICT,
32.15,10.97,190.01,1.12,,ICT,
32.10,25.18,236.32,1.08,,FBT,
31.78,50.55,275.56,1.06,,FBT,
31.68,29.78,184.56,1.08,,DCT2,
31.67,10.05,252.09,1.03,,ICT,
31.55,50.47,245.08,1.01,,FBT,
31.38,5.36,229.41,1.05,,FBT,
31.34,-16.80,238.14,1.03,,ICT,
31.31,36.11,23.63,1.00,,ICT,Lausus
31.15,30.61,168.23,1.07,,DCT2,
31.07,46.05,244.34,,,FBT,
31.04,55.17,356.32,1.07,,ICT,
31.02,17.71,313.10,1.02,,FBT,
30.89,46.72,40.72,1.03,,ICT,
30.85,-11.66,240.81,1.08,,ICT,
30.80,61.89,223.95,,3 ellipse,DCT2,
30.78,-3.00,23.38,1.11,,RBT,
30.77,-68.28,333.04,1.06,,FBT,Nisus
30.55,-56.91,35.74,1.06,,ICT,Ripheus
30.45,-9.97,256.55,1.22,,ICT,
30.44,20.60,34.24,1.41,,ICT,
29.92,25.36,185.65,1.04,,ICT,
29.92,-3.59,2.67,1.06,,ICT,
29.68,-0.36,202.55,1.24,,ICT,
29.66,26.66,174.17,1.09,,DCT2,
29.65,2.63,208.08,1.03,,ICT,
29.55,-4.69,59.80,1.08,,ST,Camilla
29.41,-24.91,262.76,1.06,,ICT,
29.40,28.36,206.07,1.04,,DCT2,
29.39,42.41,208.39,1.06,,DCT2,
29.29,7.50,311.45,1.00,,FBT,Larides
29.28,-43.18,253.86,1.05,,ICT,
29.01,26.42,293.58,1.05,,FBT,
28.91,11.56,42.12,1.00,,ICT,
28.69,36.28,282.34,,4,FBT,
28.57,-8.09,300.44,1.00,,FBT,
28.49,59.00,184.44,,3 ellipse,DCT2,
28.39,49.07,211.13,1.14,,FBT,
28.35,2.28,298.74,1.02,,FBT,
28.34,44.22,161.91,1.06,,DCT2,
28.29,14.51,308.94,1.04,,FBT,Thymber
28.21,67.83,120.30,,3,DCT1,
28.18,-21.25,334.13,1.01,,ICT,
28.15,21.83,154.32,1.19,,DCT2,
27.94,0.90,1.25,1.03,,ICT,
27.94,-10.64,4.32,1.40,,RBT,
27.92,11.40,230.17,1.13,,FBT,
27.74,31.38,293.79,1.26,,FBT,
27.56,-30.99,210.65,1.21,,ICT,
27.53,20.29,146.72,1.02,,ICT,
27.15,-36.98,202.79,1.10,,ICT,
27.08,26.55,228.59,1.09,,FBT,
26.94,51.65,191.45,1.05,,DCT2,
26.76,-44.01,88.15,1.02,,ET,Cretheus
26.74,46.29,319.25,1.03,,ICT,
26.68,61.16,239.00,,3,FBT,
26.68,53.32,154.83,,1,DCT1,
26.61,22.14,123.00,1.12,,ST,
26.58,53.47,154.69,1.03,,DCT1,
26.55,11.33,19.38,1.00,,ICT,
26.54,52.36,4.71,1.02,,ICT,
26.52,47.72,21.21,1.02,,ICT,
26.46,21.51,322.47,1.17,,ICT,
26.43,-14.17,3.06,1.04,,RBT,
26.42,5.84,110.65,1.00,,ST,
26.30,49.16,55.12,1.03,,ICT,
26.15,-55.67,309.19,1.03,,FBT,
26.10,56.70,178.34,,4,DCT2,
26.07,-2.79,154.74,1.08,,ICT,
25.94,-22.10,227.91,1.09,,FBT,
25.92,-14.39,323.69,1.06,,ICT,
25.81,20.28,132.05,1.11,,ST,
25.76,79.76,156.52,,3,DCT1,
25.67,-15.79,206.53,1.17,,FBT,
25.64,-46.79,327.22,1.03,,FBT,
25.46,62.07,188.20,,4,DCT2,
25.46,-0.34,34.54,1.02,,RBT,
25.39,54.51,121.76,,4 ellipse,ST,
25.31,-59.92,15.07,1.00,,ICT,
25.25,53.24,219.01,1.00,,FBT,
25.17,4.48,174.34,1.03,,ICT,
25.12,-23.61,252.35,1.19,,ICT,
25.06,-27.70,65.02,1.09,,ST,
25.04,23.87,248.43,1.09,,ICT,
25.01,-18.72,38.85,1.03,,ICT,
25.01,54.19,207.30,1.15,,DCT2,
24.93,-1.23,134.76,1.13,,ST,
24.92,-18.99,265.64,1.00,,ICT,
24.88,3.01,133.43,1.11,,ST,
24.86,34.33,201.55,1.02,,DCT2,
24.79,16.66,197.87,1.17,,ICT,
24.76,-38.01,88.06,1.04,,ST,Amycus
24.75,-23.88,210.05,1.12,,FBT,
24.71,5.45,291.24,1.00,,FBT,
24.71,-1.22,143.36,1.07,,ST,
24.60,-51.24,264.40,1.27,,FBT,
24.59,39.53,288.80,1.06,,FBT,
24.45,17.89,296.60,1.02,,FBT,
24.44,-8.69,136.10,1.00,,ST,
24.42,55.47,205.91,1.05,,DCT2,
24.39,70.33,182.64,,3,DCT1,
24.32,19.67,144.08,1.01,,ST,
24.32,-46.62,6.72,1.02,,ICT,
24.30,17.23,31.09,1.17,,ICT,
24.28,15.47,82.57,1.01,,ST,
24.23,13.11,197.92,1.00,,ICT,
24.20,4.81,246.47,1.11,,FBT,
24.20,36.35,335.48,1.14,,ICT,
24.18,44.66,175.49,1.13,,DCT2,
24.11,66.55,207.37,,3 ellipse,DCT2,
24.00,-49.68,347.28,1.09,,ICT,
24.00,56.63,188.76,,3 ellipse,DCT2,
23.97,57.12,218.08,,3 ellipse,DCT2,
23.93,-0.52,220.15,1.25,,FBT,
23.89,14.94,283.49,1.09,,FBT,
23.86,-22.96,353.77,1.08,,ICT,
23.85,-49.29,267.86,1.05,,FBT,
23.84,12.59,286.28,1.35,,FBT,
23.82,10.98,131.50,1.11,,ST,
23.70,-40.65,284.31,1.00,,FBT,
23.61,20.46,164.25,1.12,,DCT2,
23.60,15.58,208.31,1.30,,ICT,
23.60,61.67,204.49,,3,DCT2,
23.56,-12.72,15.77,1.05,,RBT,
23.56,40.05,218.99,1.03,,FBT,
23.54,72.55,196.24,,3,DCT2,
23.52,-4.96,181.57,1.04,,ICT,
23.50,13.95,214.40,1.58,,ICT,
23.50,51.08,19.87,1.00,,ICT,
23.46,-46.59,259.04,1.07,,ICT,
23.44,35.14,38.78,1.12,,ICT,
23.39,21.44,2.27,1.00,,ICT,
23.34,1.70,289.35,1.04,,FBT,
23.30,13.80,151.90,1.04,,ICT,
23.26,-42.74,321.74,1.08,,FBT,
23.15,22.93,69.62,1.02,,ST,
23.12,9.73,170.40,1.05,,ICT,
23.11,-10.75,194.15,1.06,,ICT,
23.07,22.51,156.42,1.00,,DCT2,
23.06,-26.64,334.97,1.01,,FBT,
23.06,-22.49,1.87,1.09,,RBT,
23.04,20.88,213.40,1.03,,ICT,
23.03,-28.57,228.71,1.33,,ICT,
23.03,35.05,172.97,1.03,,DCT2,
23.03,32.20,54.66,1.03,,ICT,
23.01,28.35,337.54,1.00,,ICT,
23.00,16.54,326.90,1.01,,FBT,
22.98,-10.75,197.44,1.00,,ICT,
22.96,-56.95,346.26,1.00,,ICT,
22.92,-20.04,231.21,,4,FBT,
22.91,26.72,242.04,1.01,,FBT,
22.89,-20.09,331.67,1.01,,ICT,
22.88,-1.73,322.31,1.12,,FBT,
22.85,-19.06,224.05,1.00,,FBT,
22.80,30.37,171.98,1.07,,DCT2,
22.78,-7.27,353.14,1.23,,ICT,
22.72,26.25,297.97,1.03,,FBT,
22.71,-9.28,295.98,1.06,,FBT,
22.67,35.40,0.39,1.16,,ICT,
22.67,-25.39,234.91,,3 ellipse,ICT,
22.65,-2.21,245.59,1.11,,FBT,Tereus
22.63,25.95,308.49,1.11,,ICT,
22.61,42.57,258.28,,3 ellipse,FBT,
22.59,-2.89,325.19,1.03,,FBT,
22.58,-15.20,169.75,1.04,,ICT,
22.55,-26.06,33.41,1.04,,ICT,
22.53,-10.30,316.62,1.11,,FBT,
22.51,-17.50,243.68,1.02,,ICT,
22.49,-43.89,351.34,1.05,,ICT,
22.46,-43.41,257.19,1.12,,ICT,
22.43,61.83,3.21,1.12,,ICT,
22.39,39.50,181.77,1.05,,DCT2,
22.36,5.70,264.71,1.07,,ICT,
22.35,19.21,9.27,1.08,,ICT,
22.30,52.06,44.36,1.08,,ICT,
22.26,-34.14,282.88,1.00,,FBT,
22.22,-34.59,25.94,1.03,,ICT,
22.16,57.77,342.69,1.01,,ICT,
22.15,5.23,240.19,1.02,,FBT,
22.13,36.98,289.96,1.13,,FBT,
22.02,43.65,91.89,,3,ST,
22.02,52.41,89.50,,secondary 3,ST,
21.96,26.82,19.38,1.09,,ICT,
21.94,53.45,138.96,,3 ellipse,DCT1,
21.93,19.08,166.93,1.05,,DCT2,
21.89,47.63,149.23,1.14,,DCT2,
21.87,22.35,250.05,1.02,,ICT,
21.72,34.15,248.32,1.06,,FBT,
21.70,-33.64,231.82,,4,ICT,
21.67,-1.96,41.55,1.03,,ICT,
21.67,27.63,141.73,1.02,,ST,
21.66,20.96,168.05,1.27,,DCT2,
21.64,29.54,248.71,1.20,,FBT,
21.64,31.57,177.79,1.02,,DCT2,
21.62,-15.72,319.04,1.01,,FBT,
21.57,33.50,152.83,1.11,,DCT2,
21.57,25.69,200.27,1.10,,DCT2,
21.56,56.56,231.68,,3 ellipse,FBT,
21.54,35.10,22.37,1.06,,ICT,
21.54,50.47,0.16,1.08,,ICT,
21.54,35.52,180.49,1.18,,DCT2,
21.51,-44.04,29.38,1.08,,ICT,
21.42,17.77,218.45,1.05,,ICT,
21.41,-25.57,185.27,1.07,,ICT,
21.39,13.27,158.17,1.22,,ICT,
21.32,8.70,23.01,1.28,,ICT,
21.30,58.36,155.15,,4,DCT1,
21.27,18.27,261.94,1.08,,ICT,
21.26,-26.23246,144.68765,,,ET,
21.25,39.30,197.50,1.01,,DCT2,
21.18,1.23,160.20,1.23,,ICT,
21.17,34.70,330.96,1.12,,ICT,
21.16,-28.17,346.12,1.10,,ICT,
21.15,53.39,157.10,1.00,,DCT1,
21.14,23.06,353.78,1.39,,ICT,
21.14,53.38,212.99,1.15,,DCT2,
21.07,26.02,6.34,1.03,,ICT,
21.00,25.96,324.28,1.03,,ICT,
20.98,5.97,3.11,1.17,,ICT,
20.98,52.34,52.59,1.14,,ICT,
20.97,-32.73,232.47,,4,ICT,
20.96,-27.97,49.17,1.00,,ST,
20.92,3.86,229.23,1.28,,FBT,
20.91,22.20,297.90,1.24,,FBT,
20.89,31.42,287.83,1.04,,FBT,
20.85,46.51,345.47,1.01,,ICT,
20.85,-16.21,192.34,1.12,,ICT,
20.82,45.73,154.34,1.03,,DCT2,
20.80,-26.21,242.69,1.04,,ICT,
20.73,-20.77,308.62,1.00,,FBT,
20.72,-2.41,335.43,1.00,,ICT,
20.69,41.21,164.26,1.04,,DCT2,
20.67,-5.22,344.47,1.25,,ICT,
20.66,12.92,7.54,1.14,,ICT,
20.65,-27.10,246.61,1.24,,ICT,
20.63,19.95,143.85,1.43,,ST,
20.62,23.63,201.79,1.07,,DCT2,
20.57,13.14,243.01,1.01,,FBT,
20.57,16.12,154.60,1.13,,ICT,
20.56,-5.56,104.37,1.08,,ST,
20.51,-63.67,57.50,1.13,,ST,
20.51,49.07,197.44,1.12,,DCT2,
20.46,-7.20,255.68,1.12,,ICT,
20.43,57.23,294.58,,4,FBT,
20.38,-26.77,126.63,1.00,,ET,
20.36,-6.28,202.81,1.09,,ICT,
20.32,16.32,272.70,1.00,,FBT,
20.30,-48.71,218.26,1.00,,ICT,
20.29,13.77,11.81,1.00,,ICT,
20.28,-13.25,176.98,1.06,,ICT,
20.27,28.89,166.35,1.15,,DCT2,
20.25,25.81,25.50,1.06,,ICT,
20.23,-12.18,201.07,1.01,,ICT,
20.21,-37.05,22.24,1.01,,ICT,
20.21,62.04,36.99,1.06,,ICT,
20.19,30.95,124.68,1.09,,ST,
20.18,31.34,221.26,1.06,,FBT,
20.13,-27.73,355.16,1.04,,ICT,
20.11,62.88,130.57,,2 ellipse,DCT1,
20.09,12.89,306.09,1.00,,FBT,
20.08,-55.01,71.37,1.00,,ST,
20.04,21.13,34.44,1.03,,ICT,
20.04,-46.29,149.44,1.00,,ET,
20.02,77.25,125.52,,2 ellipse,DCT1,
20.00,-12.95,194.48,1.09,,ICT,
19.98,31.29,254.41,1.13,,FBT,
19.98,-18.12,203.16,1.16,,ICT,
19.96,-56.43,46.50,1.00,,ICT,
19.95,-17.62,195.81,1.01,,ICT,
19.94,-0.81,56.44,1.10,,ST,
19.90,35.79,32.83,1.09,,ICT,
19.90,-8.44,329.85,1.24,,ICT,
19.86,-30.88,273.00,1.02,,ICT,
19.86,-2.39,230.41,1.03,,FBT,
19.82,71.49,206.67,,3 ellipse,DCT2,
19.80,-25.02,107.79,1.25,,ST,
19.80,-44.83,224.26,1.00,,ICT,
19.80,-27.30,143.25,,,ET,
19.77,-20.35,183.17,1.13,,ICT,
19.74,-3.64,193.88,1.08,,ICT,
19.70,-36.14,258.25,1.04,,ICT,
19.69,53.62,303.59,,3,FBT,
19.65,2.41,41.28,1.07,,ICT,
19.65,-9.03,353.88,1.18,,ICT,
19.63,-1.63,330.03,1.01,,ICT,
19.60,60.21,143.05,,3 ellipse,DCT1,
19.57,39.43,194.73,1.13,,DCT2,
19.56,-7.21,9.45,1.06,,RBT,
19.55,46.31,332.73,1.18,,ICT,
19.53,22.12,264.52,,3,FBT,
19.52,-22.72,267.35,1.06,,ICT,
19.50,-14.22,240.16,1.01,,ICT,
19.49,43.44,198.55,1.00,,DCT2,
19.49,-12.04,292.57,1.00,,FBT,
19.37,38.04,8.98,1.14,,ICT,
19.35,10.42,253.32,1.10,,ICT,
19.35,17.67,228.87,1.13,,FBT,
19.32,9.75,176.03,1.22,,ICT,
19.32,69.74,130.30,,3 ellipse,DCT1,
19.32,51.70,141.10,,3,DCT1,
19.31,-15.21,116.93,1.22,,ST,
19.30,-10.01,323.89,1.00,,ICT,
19.23,21.40,191.92,1.14,,ICT,
19.18,-11.49,45.33,1.04,,ICT,
19.16,73.23,208.86,,4,DCT2,
19.12,45.24,265.37,1.03,,FBT,
19.06,56.86,262.35,1.02,,FBT,
19.03,-45.21,161.26,1.04,,ET,
19.02,-12.92,248.04,1.04,,ICT,
19.02,-69.36,53.01,1.28,,ICT,
19.02,35.82,220.42,1.01,,FBT,
19.01,37.16,136.37,1.01,,ST,
18.95,-32.37,223.94,1.06,,ICT,
18.94,26.79,10.00,1.12,,ICT,
18.93,53.23,269.12,1.01,,FBT,
18.92,39.88,316.85,1.04,,ICT,
18.92,-3.64,108.42,1.07,,ST,
18.91,46.21,105.03,,2,ST,
18.90,73.00,121.09,,3,DCT1,
18.88,37.03,315.68,1.12,,ICT,
18.87,21.88,276.43,1.11,,FBT,
18.84,38.86,241.32,1.03,,FBT,
18.82,-18.65,288.06,1.07,,FBT,
18.82,-28.80,316.61,1.03,,FBT,
18.80,-33.01,319.71,1.16,,FBT,
18.80,67.71,226.90,,3 ellipse,DCT2,
18.71,-10.17,319.34,1.00,,ICT,
18.70,-11.88,127.11,1.03,,ST,
18.67,6.09,38.79,1.02,,ICT,
18.64,-56.73,271.70,1.00,,FBT,
18.62,16.43,265.55,1.08,,ICT,
18.58,-9.23,347.11,1.03,,ICT,
18.57,16.23,254.13,1.05,,ICT,
18.56,27.37,46.34,1.04,,ICT,
18.55,-42.33,33.08,1.05,,ICT,
18.43,57.75,140.98,,1 ellipse,DCT1,
18.41,-58.97,257.34,1.18,,FBT,
18.40,21.33,303.77,1.01,,FBT,
18.38,40.60,59.58,1.17,,ICT,
18.37,13.10,38.87,1.01,,ICT,
18.36,51.96,342.98,1.04,,ICT,
18.34,-57.81,16.23,1.00,,ICT,
18.33,16.98,71.16,1.29,,ST,
18.32,-9.42,293.56,1.09,,FBT,
18.31,20.49,38.07,1.26,,ICT,
18.27,-16.75,327.34,1.28,,ICT,
18.25,-22.05,232.25,,3,ICT,
18.24,23.86,203.99,1.02,,DCT2,
18.24,-53.76,341.51,1.21,,ICT,
18.24,-45.31,330.86,1.26,,FBT,
18.24,30.92,251.64,1.14,,FBT,
18.23,19.12,227.97,1.02,,FBT,
18.21,47.67,118.33,,2 ellipse,ST,
18.21,25.43,220.34,1.28,,FBT,
18.20,-20.65,269.66,1.03,,FBT,
18.19,-19.43,333.80,1.00,,ICT,
18.18,21.81,243.07,1.16,,FBT,
18.18,42.04,340.23,1.05,,ICT,
18.16,-40.65,338.92,1.00,,ICT,
18.15,-64.74,48.53,1.04,,ICT,
18.15,28.60,220.16,1.02,,FBT,
18.15,17.44,305.45,1.02,,FBT,
18.14,5.36,218.26,1.01,,ICT,
18.12,-57.74,359.57,1.06,,ICT,
18.09,20.38,195.01,1.36,,ICT,
18.08,21.10,297.13,1.06,,FBT,
18.07,33.81,304.19,1.02,,ICT,
18.07,-33.12,322.04,1.25,,FBT,
18.06,-49.57,3.30,1.02,,ICT,
17.99,28.03,148.71,1.21,,DCT2,
17.96,6.96,264.82,1.03,,ICT,
17.96,19.21,174.44,1.04,,ICT,
17.93,-34.36,1.71,1.01,,ICT,
17.91,75.08,190.01,,3,DCT2,
17.90,-20.93,313.17,1.00,,FBT,
17.88,-45.18,243.35,1.05,,ICT,
17.88,-10.62,252.34,1.22,,ICT,
17.85,11.85,291.84,1.25,,FBT,
17.84,-47.86,122.49,1.00,,ET,
17.84,14.72,181.68,1.02,,ICT,
17.84,19.47,224.34,1.10,,FBT,
17.80,24.31,146.99,1.01,,ICT,
17.73,71.15,233.90,,4,DCT2,
17.70,28.15,341.36,1.15,,ICT,
17.69,39.31,174.19,1.02,,DCT2,
17.67,20.80,170.73,1.08,,DCT2,
17.63,-25.14,51.83,1.00,,ST,
17.62,30.01,225.75,1.02,,FBT,
17.61,8.65,10.70,1.17,,ICT,
17.59,42.64,270.95,1.06,,FBT,
17.55,36.33,217.41,1.06,,FBT,
17.54,50.34,57.92,1.51,,ICT,
17.52,-66.36,13.96,1.07,,ICT,
17.50,54.22,307.10,,4 ellipse,FBT,
17.50,23.56,308.31,1.06,,ICT,
17.46,75.11,220.73,,2 ellipse,DCT2,
17.45,-28.07,245.67,1.35,,ICT,
17.44,35.81,327.71,1.04,,ICT,
17.44,-34.25,231.85,,3,ICT,
17.43,13.12,194.31,1.05,,ICT,
17.43,22.86,159.79,1.00,,DCT2,
17.43,2.87,259.67,1.23,,ICT,
17.42,-36.55,254.02,1.01,,ICT,
17.40,-5.08,73.05,1.04,,ST,
17.39,5.33,194.80,1.02,,ICT,
17.39,0.72,173.20,1.02,,ICT,
17.38,-36.03,295.32,1.05,,FBT,
17.36,23.63,242.79,1.09,,FBT,
17.36,25.13,258.66,1.07,,ICT,
17.34,30.70,262.00,,4,FBT,
17.33,0.05,209.52,1.23,,ICT,
17.31,-9.80,322.13,1.00,,ICT,
17.30,2.81,186.51,1.04,,ICT,
17.29,6.27,261.38,1.12,,ICT,
17.26,-33.38,39.52,1.10,,ICT,
17.26,56.97,45.07,1.18,,ICT,
17.25,-37.32,356.19,1.10,,ICT,
17.24,-36.28,7.65,1.12,,ICT,
17.22,-14.85,191.15,1.13,,ICT,
17.19,19.61,26.56,1.03,,ICT,
17.16,-27.90,59.50,1.08,,ST,
17.14,35.32,318.26,1.05,,ICT,
17.12,28.68,222.02,1.04,,FBT,
17.11,37.44,198.05,1.02,,DCT2,
17.10,-52.10,335.34,1.05,,FBT,
17.09,43.01,31.07,1.06,,ICT,
17.08,40.49,7.50,1.07,,ICT,
17.08,48.87,309.05,1.10,,FBT,
17.06,-20.10,90.55,1.00,,ST,
17.05,33.98,214.94,1.13,,DCT2,
17.05,75.77,188.31,,3,DCT2,
17.04,-0.21,338.88,1.09,,ICT,
17.02,-28.28,154.46,1.29,,ET,
17.01,2.79,265.00,1.15,,ICT,
17.01,41.87,3.47,1.04,,ICT,
16.99,35.93,296.68,1.08,,FBT,
16.98,-1.66,352.57,1.00,,ICT,
16.97,-13.29,259.46,1.25,,ICT,
16.96,-3.81,354.90,1.03,,ICT,
16.96,2.93,239.49,,4,FBT,
16.95,-31.64,265.23,1.00,,ICT,
16.95,-25.95,320.86,1.02,,FBT,
16.95,-23.29,215.62,1.10,,FBT,
16.94,14.30,154.69,1.00,,ICT,
16.93,27.02,350.44,1.09,,ICT,
16.91,43.53,244.53,1.10,,FBT,
16.89,-33.13,5.86,1.01,,ICT,
16.88,4.28,36.24,1.04,,ICT,
16.86,48.73,308.85,,3,FBT,
16.85,37.59,213.44,1.03,,DCT2,
16.82,-25.79,249.48,1.10,,ICT,
16.80,-30.87,349.58,1.03,,ICT,
16.79,40.05,257.19,,3,FBT,
16.78,37.27,203.25,1.06,,DCT2,
16.78,12.87,37.49,1.13,,ICT,
16.77,6.77,263.10,1.11,,ICT,
16.76,-32.22,0.36,1.02,,ICT,
16.76,35.23,124.75,1.01,,ST,
16.75,56.75,138.04,,3 ellipse,DCT1,
16.75,11.82,0.86,1.05,,ICT,
16.74,5.65,22.19,1.02,,ICT,
16.73,27.82,162.49,1.04,,DCT2,
16.72,29.53,32.36,1.20,,ICT,
16.72,67.39,199.30,,3,DCT2,
16.71,41.50,315.67,1.22,,ICT,
16.70,45.95,111.37,,3,ST,
16.70,5.83,146.87,1.00,,ST,
16.66,57.75,158.59,,2 ellipse,DCT1,
16.65,35.64,325.70,1.19,,ICT,
16.61,-24.09,256.87,1.16,,ICT,
16.61,-25.01,8.89,1.04,,RBT,
16.60,-28.75,3.31,1.00,,ICT,
16.59,10.52,180.26,1.21,,ICT,
16.57,29.52,10.29,1.22,,ICT,
16.54,-15.66,247.69,1.16,,ICT,
16.54,-26.79,279.16,1.06,,FBT,
16.52,27.95,8.47,1.00,,ICT,
16.45,-38.57,197.40,1.26,,ICT,
16.45,-50.69,33.27,1.12,,ICT,
16.44,22.56,98.55,,3 ellipse,ST,
16.44,34.70,342.80,1.00,,ICT,
16.42,26.20,61.17,1.00,,ST,
16.42,-29.59,279.84,1.41,,FBT,
16.40,2.52,170.91,1.00,,ICT,
16.39,0.13,140.46,1.12,,ST,
16.39,50.78,341.38,1.29,,ICT,
16.35,49.35,337.23,1.00,,ICT,
16.34,24.17,315.36,1.00,,ICT,
16.33,-4.41,202.13,1.05,,ICT,
16.32,3.22,257.87,1.19,,ICT,
16.31,-29.68,286.76,1.00,,FBT,
16.31,-1.82,50.65,1.00,,ST,
16.30,72.50,225.58,,2 ellipse,DCT2,
16.28,25.52,161.04,1.02,,DCT2,
16.28,-6.10,142.30,1.01,,ST,
16.25,61.58,168.96,,3,DCT1,
16.25,68.02,236.20,,3,DCT2,
16.23,-48.86,203.19,1.00,,ICT,
16.19,0.77,350.73,1.07,,ICT,
16.18,11.79,254.82,1.13,,ICT,
16.17,74.82,140.83,,2,DCT1,
16.16,3.23,210.43,1.00,,ICT,
