OID_,Shape_Length,Shape_Area
1,41.764868766468659,138.807322862751704
2,30.222935986787295,72.688120356541233
3,19.734644850256732,30.991940260041826
4,9.063069194760981,6.536431699314018
5,14.318654928305067,16.315281893850962
8,13.039984924206935,13.531449297639186
9,22.884536772662241,41.674882857657686
10,31.089748157361360,76.917390880043271
12,38.727119280323606,119.349477568221033
13,20.330891848116757,32.892962974329649
14,41.172078966749808,134.894961995415144
16,18.707623927960096,27.850140965131189
17,15.711770724503385,19.644473879935010
18,17.845122534550061,25.341318352430736
20,19.351809895820644,29.801169942899953
21,17.378215991098408,24.032586679258078
22,17.857123207671265,25.375413398167790
23,19.203240371075736,29.345341790885762
24,14.520459703322542,16.778412515932775
25,16.711403317730468,22.223680123578340
26,33.204867275690383,87.739192534744433
27,44.849646118198073,160.069348474342803
29,23.560794863826175,44.174334153489866
30,18.454866467743049,27.102662080732760
32,17.904259914757176,25.509555060303928
33,18.492990664349577,27.214755493598069
34,17.282605230403593,23.768871117701430
35,32.657460654540948,84.870148202077118
36,31.354856425082687,78.234762574498845
37,15.658814762707159,19.512275047227682
38,15.741003987534702,19.717642757762878
40,16.161589880886066,20.785395838914525
44,25.278898108484761,50.851809897200120
45,21.271697537028579,36.007621451955906
46,17.957099103658628,25.660345227297068
47,18.470376385891964,27.148236695063673
48,17.723514595310554,24.997111676083183
50,27.012434646416960,58.065423018256048
52,16.220673565936561,20.937648507041949
54,17.781685712393216,25.161469168594405
55,14.823451002749200,17.485931807535803
56,17.461956665042177,24.264757098870618
57,14.875539300643027,17.609035757080417
58,20.448721142769120,33.275335353942737
59,14.563377075179776,16.877741262184440
60,17.408217719815834,24.115637957886531
61,21.038321931875732,35.221863439511061
62,20.409743595497826,33.148603237754102
64,27.848611538659430,61.715923271033049
65,24.959716983764039,49.575767819367989
66,36.533275713191721,106.210478370818507
67,27.046293476241701,58.211078858929362
70,18.012390176526605,25.818608238459738
71,19.874071962335599,31.431409154268046
72,18.588440463487551,27.496413202217319
73,53.408906453969266,226.995635903764480
75,66.868921443909400,355.826896428022451
76,16.716042514642353,22.236020719621290
77,16.291594692899029,21.121138774501340
78,14.288988479973415,16.247745514326052
80,13.022195993151554,13.494555722420101
81,16.190163924052513,20.858958877766515
82,19.489643762878746,30.227201286732765
86,28.070641844898606,62.703938771644694
87,24.557432885929490,47.990587613087435
88,15.609181953043558,19.388777294600391
89,15.082313218940268,18.101978607434262
90,15.533059453437330,19.200128930490148
91,12.609396983061561,12.652570671022671
92,19.621968853334902,30.639050327012772
93,15.774877155482397,19.802595109379592
94,22.934247115279685,41.856133873983886
95,21.871474065806304,38.066788931454099
96,17.872500372134745,25.419134876299037
97,30.460110301693792,73.833435927089823
98,32.742592468992015,85.313205737022074
99,27.009267567212543,58.051808028302410
100,22.508628204305079,40.316998375069360
102,21.034344652731807,35.208547364052869
103,36.791858176487814,107.719314479873219
104,20.856049871531368,34.614196062845096
105,16.745797445835386,22.315252406810156
106,17.652491780453808,24.797172996228710
108,19.784141936684772,31.147598951413652
109,21.557037582746094,36.980118094951280
112,23.521993135994894,44.028954585946359
113,22.751144986405350,41.190460959425813
114,20.643461754308692,33.912139493534866
115,16.869601249435028,22.646431101574855
116,20.830097175317398,34.528103749969851
117,44.922952023178262,160.593036797020176
118,21.761985071595930,37.686616827552065
119,20.065432281190979,32.039606739832962
120,26.961265213106103,57.845645668036376
121,15.394650473160597,18.859483813088978
122,19.907837119702791,31.538300989766473
123,24.723012196822410,48.639925627038295
124,24.872840782134386,49.231255989417292
125,18.406953411340503,26.962115338227097
127,19.278758906565866,29.576602217413285
128,16.202308769696227,20.890264780875423
129,24.572589149610138,48.049843192240559
130,23.889154384973949,45.414202297758884
131,21.718462842241813,37.536027123921691
132,47.299286556146370,178.032510529655184
133,29.171996719596301,67.720857415722080
134,29.394915438905024,68.759793911620193
135,20.363787200911670,32.999490615863941
136,20.061262302252477,32.026291242747952
137,20.064786928594454,32.037545831241218
139,33.201752412645263,87.722732131660166
140,18.476914178723707,27.167458930251424
141,18.186727059140392,26.320809028640642
142,21.863242346474298,38.038140093884437
144,17.846932832024788,25.346460110515135
145,15.225907270179588,18.448306143000845
146,34.191095237430758,93.028530624367193
147,22.174039926563161,39.127291542952086
148,22.261017019756782,39.434845108551023
150,17.002115254947398,23.003612738605863
151,25.073968660133527,50.030667060778818
152,32.440855481349622,83.748055557048346
153,19.072044640487665,28.945739221881411
154,21.141174426727126,35.567091713066858
155,15.680180272607119,19.565558022020475
156,23.149122028575171,42.644122725580750
158,20.153066141510873,32.320077719180297
159,18.852900035430952,28.284367113907368
160,18.726389269729047,27.906041119041600
161,15.707174121882151,19.632981269326159
162,26.280636429827442,54.961919583015131
163,21.750552065768204,37.647028699369521
164,21.122634073416279,35.504735925075110
165,96.513016870838968,741.245241873351915
166,48.172707497665129,184.668256163312464
167,26.602690241547108,56.317225538377564
168,32.163069562312515,82.319953422996079
170,28.737316959896692,65.717732780371264
171,31.020220062102112,76.573744498805951
172,25.311108641991343,50.981483862543172
173,18.728033914495818,27.910943029304534
174,12.513565628051682,12.460982532906286
175,17.688123053723647,24.897379423631207
176,19.300911078242734,29.644610992497782
177,15.513994311447640,19.153025712977790
178,16.609112777480309,21.952450370979882
179,34.614240803226323,95.345402674552446
180,21.339312938396446,36.236896925710766
181,19.971068860092867,31.738964547076609
182,13.647842754713317,14.822387272626159
183,28.545976940158990,64.845517013238549
185,17.762524982609769,25.107272691553163
186,23.063215438983750,42.328204595301401
187,19.883781022232629,31.462126963558458
189,21.848233978067654,37.985934253358984
190,16.031740163266264,20.452738547182452
191,22.013674137665788,38.563389853041357
193,14.904526152858201,17.677729446193201
194,18.381047924975871,26.886277127159932
195,17.201714557580242,23.546892957490375
196,20.853402337603811,34.605408546289013
197,18.063006715748632,25.963917635881263
198,16.550507338552826,21.797804757603803
199,15.949918319592337,20.244500358040767
200,16.491391755394361,21.642366787998647
201,16.083635661087769,20.585365816206735
202,50.037490438142520,199.242130141080821
203,16.961677368569262,22.894319130353452
204,19.239203124150183,29.455357335184402
205,22.581472143794691,40.578373806539155
206,38.113157168088669,115.595249726247658
208,18.132441559580009,26.163913750553579
209,34.802943509588623,96.387804729200639
210,21.883493054644006,38.108637964683609
211,20.419326358446938,33.179738345161674
212,22.859347252886920,41.583188405327519
214,13.760829238636747,15.068823540708257
215,27.508967226914830,60.219716663995968
216,21.837825709957222,37.949750677697004
217,19.264268675043844,29.532158406996064
218,16.789954904296490,22.433094991340543
219,14.818118430375442,17.473353329698028
220,14.376455490465487,16.447268571974636
221,18.714980594371923,27.872049090092734
222,13.908482631928958,15.393934737339777
223,13.354057580067280,14.191118448152379
224,15.448885856577727,18.992601884337972
225,17.597410013788561,24.642663239578315
226,21.890541741341526,38.133191550299706
227,14.585233113175772,16.928437931203515
228,23.106318283764530,42.486566807170171
229,14.527498168646447,16.794682372241045
231,21.711694158650403,37.512634133209758
232,27.306692416947083,59.337375415437748
233,25.775306663249317,52.868600964656849
234,28.821482911524267,66.103245138265891
235,40.237722586380436,128.841840546103896
236,13.916078921363475,15.410754504115225
237,14.650124551860376,17.079406295702917
238,22.557988936591993,40.494020149457164
239,27.486688494074755,60.122215678327699
240,25.198675969353520,50.529567374283211
241,18.001939437091359,25.788657158209336
242,15.968466105216343,20.291611442851483
243,16.877899796638545,22.668717188705813
244,23.846593751814886,45.252527640264553
245,27.713643086418788,61.119159755147379
246,17.784407334281838,25.169172065500685
247,19.685696918774628,30.838392012331632
248,35.260939504245869,98.941364446260295
249,25.684102206377602,52.495117834091602
250,19.642559082412021,30.703385977266318
251,20.225433341625948,32.552609373873317
252,14.170987077561358,15.980499136556123
253,15.254641045977399,18.518001782926511
254,21.089146971214056,35.392249172188478
255,28.986259556978663,66.861249670964227
256,21.085349229220000,35.379503419240883
257,30.063416475289344,71.922835789511609
258,25.163859641959448,50.390033169694703
259,55.906732963046551,248.724384034155406
260,22.829207778112533,41.473607915137173
261,23.427829549859279,43.677145475089844
262,22.125914494518604,38.957635998682782
263,20.532852291720598,33.549704697700847
264,31.963019215614018,81.299098103180498
265,32.365521184790929,83.359546977404605
266,16.169976247364033,20.806972821694924
267,21.119514008680202,35.494247754651703
268,26.820293064400261,57.242313006299888
269,21.704237824237001,37.486873019068817
270,18.398061441007101,26.936072090719065
271,17.675292539398367,24.861272672980398
272,16.696441835814692,22.183904846654812
273,18.025332313369979,25.855723579897692
274,30.430600119713404,73.690443491119680
275,23.245561631763170,43.000175003485339
276,27.246697567422217,59.076924524434759
277,20.587259601599154,33.727738175996038
278,27.612279957147589,60.672888603228216
279,18.745052086943151,27.961691448181945
280,16.439760962313159,21.507064274323731
281,16.914116414720343,22.766106688259669
282,17.766795959551676,25.119348167851157
283,21.759082145203109,37.676563132770610
284,24.549319555723866,47.958882412746632
286,58.548638700267723,272.787043996417822
287,18.170674883877147,26.274366391699893
289,33.894677626090314,91.422512245805919
290,55.597747871982989,245.982683727669240
291,33.671037521750868,90.220064534438393
292,34.739490096162832,96.036652839316105
293,21.174360167847876,35.678840158145910
294,49.568156342493573,195.522016546794475
295,36.971141530392707,108.771685000158811
296,21.603376843624456,37.139274765170470
297,20.431275629584189,33.218582887810847
298,32.670970436338301,84.940381117871652
299,18.867116900139720,28.327041358845882
300,16.083030841148876,20.583817633213787
301,45.456508503428026,164.430465146486995
302,59.734383376722967,283.948060016633463
303,21.069564860904848,35.326553469672156
304,23.446934782815347,43.748411341728627
305,25.142921538346247,50.306211943254333
306,20.189686336632562,32.437642250168068
307,22.741340864200737,41.154968301731842
308,24.511220599855143,47.810139755726212
309,24.589504923491447,48.116021000646271
310,22.831774075856991,41.482932777369683
311,18.491432085836383,27.210168399329540
312,24.515271706502851,47.825944760607193
313,22.066211602776377,38.747678979173045
314,16.764598339545216,22.365388234303211
315,19.733054960216432,30.986946829180365
316,28.321020017678070,63.827512291035859
317,19.504880463029895,30.274482072203789
318,16.246592275371274,21.004613715637568
319,27.507707954392504,60.214203458198384
320,19.842733053676405,31.332360561573385
